Gene,LogFC,Adjusted_PValue,Regulation
ATOX1,1.2962689,3.2514731097224788e-06,Upregulated
TBCB,1.0742158,3.290989644649165e-06,Upregulated
LARS,1.1156977,3.393531873494985e-06,Upregulated
NDFIP2,3.1451101,3.4618478903993327e-06,Upregulated
RIPOR2,-1.2140706,3.641307096097517e-06,Downregulated
CCDC47,1.5429429,3.670030612834282e-06,Upregulated
FABP5,1.481301,3.838635150837373e-06,Upregulated
ILF3,1.0805014,3.861944802464306e-06,Upregulated
PSMB4,1.041989,3.948526755305384e-06,Upregulated
DCTPP1,1.5928173,4.548378551224641e-06,Upregulated
COPB1,1.1363205,4.798269681346075e-06,Upregulated
MRPL3,1.4375453,5.281963890459336e-06,Upregulated
PSMD3,1.5024226,5.36733870548796e-06,Upregulated
UTP11,2.02065,5.6826608440143755e-06,Upregulated
BCAP31,1.0563296,5.757349077615398e-06,Upregulated
SNRPA1,1.0964481,6.036050247599217e-06,Upregulated
PRNP,1.4953951,7.281127541467016e-06,Upregulated
NARS,1.2471952,7.350257499018719e-06,Upregulated
CYSTM1,1.8270228,7.524650373098701e-06,Upregulated
TOMM22,1.1484543,7.5518680138666676e-06,Upregulated
CRIP1,-1.022597,7.908489688748524e-06,Downregulated
SFT2D1,1.5050923,8.105072515814569e-06,Upregulated
EBP,1.6675744,9.314878101622696e-06,Upregulated
MTFP1,1.9101696,1.0285598175070751e-05,Upregulated
MT1X,1.1911765,1.0292747402657353e-05,Upregulated
TMED2,1.1424783,1.0675813491754162e-05,Upregulated
CLPP,1.0272666,1.106627221908983e-05,Upregulated
YWHAE,1.0469058,1.1834582311767125e-05,Upregulated
TCF7,-1.3197042,1.2007013042562356e-05,Downregulated
PBDC1,1.5074292,1.2105346115146694e-05,Upregulated
CDC123,1.2265034,1.212781187103766e-05,Upregulated
PHF11,1.0321103,1.2262201486644278e-05,Upregulated
FAM207A,1.8657169,1.2376769233692743e-05,Upregulated
BCL7C,1.0772071,1.2392695663023146e-05,Upregulated
CHD4,1.0282915,1.2515637188818198e-05,Upregulated
ZNRD2,1.3560369,1.2596469688879842e-05,Upregulated
UFD1,1.0227482,1.3197137606545129e-05,Upregulated
EEF1E1,1.2734617,1.3199105812156227e-05,Upregulated
SRRT,1.6201012,1.347512412166195e-05,Upregulated
TXNL4A,1.0123053,1.399390464789339e-05,Upregulated
FOSL2,2.3031938,1.4631417608227034e-05,Upregulated
RBCK1,1.0816377,1.4902302210625933e-05,Upregulated
RRP15,1.5119135,1.5178022400466779e-05,Upregulated
SND1,1.7122118,1.5502586066281336e-05,Upregulated
PDAP1,1.0224947,1.7666386471469376e-05,Upregulated
KLF13,-1.1356149,1.9307142643044678e-05,Downregulated
PSMC2,1.3293228,1.9682999213612326e-05,Upregulated
